datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,log_co,log_pm2_5,log_pm10,log_precip_mm,log_so2,log_no2,scaled_temp_C,scaled_humidity_%,scaled_windspeed_kph,scaled_log_pm2_5,scaled_log_pm10,scaled_log_precip_mm,scaled_log_co,scaled_log_no2,scaled_log_so2,scaled_o3,aqi_us,aqi_us_lag1,aqi_us_lag24,hour_sin,hour_cos,aqi_us_lag12,hour,day_of_week,is_weekend,log_pm2_5_scaled_windspeed_kph,scaled_temp_C_scaled_o3,scaled_temp_C_scaled_windspeed_kph
01/04/2025 20:00,28.2,51.29,8.6,0.0,43.8,25.7,467.0,46.7,16.5,38.0,6.148468296,3.284663565,3.802208139,0.0,2.862200881,3.864931398,-0.874124465,-0.677431268,-1.047199094,0.286880104,-0.344313963,-0.109221172,1.15306992,2.246548848,0.918415139,-1.235532617,79,78.0,106.0,-0.866025404,0.5,69.0,20,1,0,-3.439696709,1.080009288,0.915382348
01/04/2025 21:00,27.0,57.86,3.6,0.0,41.8,24.1,474.0,36.3,15.1,45.0,6.163314804,3.222867846,3.756538103,0.0,2.778819272,3.618993327,-1.252142945,-0.30889416,-1.651205628,0.111215721,-0.422799508,-0.109221172,1.188352495,1.847675194,0.669143009,-1.015969183,80,79.0,84.0,-0.707106781,0.707106781,71.0,21,1,0,-5.321617526,1.272138645,2.067545478
01/04/2025 22:00,26.0,57.62,9.4,0.0,42.8,24.2,403.0,32.3,14.9,44.0,6.001414878,3.226843995,3.779633817,0.0,2.766319109,3.505557397,-1.567158346,-0.322356703,-0.950558049,0.122518569,-0.38310872,-0.109221172,0.803598971,1.663699597,0.631773351,-1.047335388,81,80.0,65.0,-0.5,0.866025404,72.0,22,1,0,-3.067302532,1.641340394,1.48967498
01/04/2025 23:00,25.4,65.39,8.6,0.0,46.0,25.4,319.0,31.5,15.3,40.0,5.768320996,3.27336401,3.850147602,0.0,2.791165108,3.481240089,-1.756167586,0.113493119,-1.047199094,0.25475928,-0.26192833,-0.109221172,0.249653737,1.624260671,0.706051301,-1.172800207,82,81.0,65.0,-0.258819045,0.965925826,90.0,23,1,0,-3.427863826,2.059633708,1.839057105
02/04/2025 00:00,26.0,57.62,5.4,0.0,50.3,30.3,353.0,39.2,17.2,27.0,5.869296913,3.443618098,3.937690752,0.0,2.901421594,3.693866996,-1.567158346,-0.322356703,-1.433763276,0.738734216,-0.111482383,-0.109221172,0.489621975,1.969108748,1.035666783,-1.58056087,82,82.0,65.0,0.0,1.0,116.0,0,2,0,-4.937333165,2.476989159,2.246934084
02/04/2025 01:00,25.0,57.38,5.4,0.0,53.8,32.9,645.0,45.9,20.0,20.0,6.470799504,3.523415014,4.003690194,0.0,3.044522438,3.848017675,-1.882173746,-0.335819246,-1.433763276,0.965569932,0.001939951,-0.109221172,1.919086749,2.219117396,1.463471579,-1.800124304,84,82.0,65.0,0.258819045,0.965925826,132.0,1,2,0,-5.051743053,3.388146705,2.698591596
02/04/2025 02:00,23.4,64.48,6.0,0.0,61.9,40.7,1056.0,54.6,24.0,12.0,6.963189986,3.730501129,4.141546164,0.0,3.218875825,4.018183201,-2.386198387,0.062447644,-1.361282492,1.554245896,0.238850227,-0.109221172,3.08924771,2.495099657,1.984706906,-2.051053942,85,84.0,65.0,0.5,0.866025404,134.0,2,2,0,-5.078265873,4.894221608,3.248290087
02/04/2025 03:00,22.0,78.06,7.6,0.0,72.9,56.8,1303.0,57.4,27.9,20.0,7.173191742,4.056988776,4.302712828,0.0,3.363841595,4.06731589,-2.827219948,0.824203188,-1.168000401,2.482340137,0.515820741,-0.109221172,3.588314744,2.574785307,2.418086963,-1.800124304,87,85.0,66.0,0.707106781,0.707106781,122.0,3,2,0,-4.738564517,5.089347341,3.302194033
02/04/2025 04:00,20.0,88.27,9.4,0.0,61.0,38.0,1231.0,48.9,32.0,58.0,7.116394144,3.663561646,4.127134385,0.0,3.496507561,3.910021003,-3.457250749,1.396922195,-0.950558049,1.363959528,0.214083084,-0.109221172,3.45333583,2.319677239,2.814696341,-0.60820852,89,87.0,66.0,0.866025404,0.5,99.0,4,2,0,-3.482428011,2.102729361,3.286317527
02/04/2025 05:00,20.6,82.53,6.0,0.0,56.2,30.3,995.0,34.5,35.9,112.0,6.903747258,3.443618098,4.046553898,0.0,3.608211551,3.569532696,-3.268241508,1.074943047,-1.361282492,0.738734216,0.075602717,-0.109221172,2.947982672,1.767457674,3.148639183,1.08556654,90,89.0,67.0,0.965925826,0.258819045,76.0,5,2,0,-4.687737026,-3.547893626,4.448999944
02/04/2025 06:00,19.0,88.18,9.4,0.0,50.8,26.5,777.0,22.3,37.7,153.0,6.656726524,3.314186005,3.947390149,0.0,3.6558396,3.148453361,-3.772266149,1.391873741,-0.950558049,0.37080244,-0.094813632,-0.109221172,2.360940418,1.084531878,3.291024841,2.371580938,90,90.0,68.0,1.0,6.12e-17,77.0,6,2,0,-3.150326183,-8.946234492,3.585757951
02/04/2025 07:00,19.0,88.18,9.4,0.0,43.9,22.4,625.0,14.9,35.8,171.0,6.439350371,3.152736022,3.804437795,0.0,3.605497845,2.766319109,-3.772266149,1.391873741,-0.950558049,-0.088145396,-0.340482222,-0.109221172,1.844348206,0.464769008,3.140526468,2.936172625,90,90.0,68.0,0.965925826,-0.258819045,78.0,7,2,0,-2.996858602,-11.0760246,3.585757951
02/04/2025 08:00,23.2,70.86,4.6,0.0,37.8,18.9,491.0,9.9,31.8,177.0,6.198478716,2.990719732,3.658420247,0.0,3.490428515,2.388762789,-2.449201467,0.420326906,-1.530404321,-0.548703055,-0.591418454,-0.109221172,1.271919175,-0.147569162,2.796522828,3.124369854,89,90.0,69.0,0.866025404,-0.5,79.0,8,2,0,-4.577010401,-7.65221123,3.748268508
02/04/2025 09:00,25.0,53.82,7.6,0.0,34.5,16.9,413.0,7.5,27.7,175.0,6.025865974,2.884800713,3.569532696,0.0,3.356897123,2.140066163,-1.882173746,-0.53551363,-1.168000401,-0.849795094,-0.744174799,-0.109221172,0.861706751,-0.550916766,2.397326229,3.061637445,87,89.0,71.0,0.707106781,-0.707106781,80.0,9,2,0,-3.36944839,-5.762533619,2.19837969
02/04/2025 10:00,30.0,25.27,7.6,0.0,32.9,16.4,411.0,8.2,24.2,167.0,6.021023349,2.856470206,3.523415014,0.0,3.226843995,2.219203484,-0.307096744,-2.136995278,-1.168000401,-0.930329168,-0.823429638,-0.109221172,0.850198304,-0.422568227,2.008528018,2.810707806,86,87.0,72.0,0.5,-0.866025404,81.0,10,2,0,-3.336358346,-0.863159216,0.35868912
02/04/2025 11:00,34.0,17.96,6.3,0.0,31.8,15.9,465.0,11.6,20.6,152.0,6.144185634,2.827313622,3.490428515,0.0,3.072693315,2.533696814,0.952964858,-2.547041893,-1.3250421,-1.013211501,-0.880118083,-0.109221172,1.142892218,0.087491492,1.547689365,2.340214734,86,86.0,90.0,0.258819045,-0.965925826,82.0,11,2,0,-3.746309579,2.230142402,-1.262718557
02/04/2025 12:00,36.0,11.87,7.6,0.0,20.8,13.6,552.0,17.0,19.4,137.0,6.315358002,2.681021529,3.08190997,0.0,3.015534901,2.890371758,1.582995659,-2.888653916,-1.168000401,-1.429070571,-1.582171403,-0.109221172,1.549681604,0.665963288,1.37681236,1.869721661,114,86.0,116.0,1.22e-16,-1.0,82.0,12,2,0,-3.131434221,2.959761273,-1.848939564
02/04/2025 13:00,38.0,9.91,11.2,0.0,24.7,16.1,702.0,27.1,18.0,111.0,6.555356892,2.839078464,3.246490992,0.0,2.944438979,3.335769576,2.21302646,-2.998598015,-0.733115696,-0.979768025,-1.299333196,-0.109221172,2.12003652,1.388329915,1.164268706,1.054200336,131,114.0,132.0,-0.258819045,-0.965925826,84.0,13,2,0,-2.081372984,2.332973238,-1.622404433
02/04/2025 14:00,38.0,9.01,15.8,0.0,29.6,19.8,886.0,40.9,15.9,76.0,6.787844982,3.034952987,3.421000009,0.0,2.827313622,3.735285827,2.21302646,-3.04908255,-0.177429685,-0.422962833,-0.999433385,-0.109221172,2.672542097,2.03628371,0.814118502,-0.043616833,131,131.0,134.0,-0.5,-0.866025404,85.0,14,2,0,-0.538490752,-0.096525206,-0.392656588
02/04/2025 15:00,36.0,15.72,22.3,0.0,35.0,21.9,992.0,50.2,14.3,50.0,6.900730664,3.131136911,3.583518938,0.0,2.727852828,3.935739532,1.582995659,-2.672692292,0.607778809,-0.149544384,-0.720138956,-0.109221172,2.940813769,2.36138873,0.516777108,-0.859138159,115,131.0,122.0,-0.707106781,-0.707106781,87.0,15,2,0,1.903038663,-1.360011976,0.962111216
