time,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2025-06-26 17:00:00,31.8,79,18.4,0.0
2025-06-26 18:00:00,31.1,83,18.0,0.0
2025-06-26 19:00:00,30.7,83,15.6,0.0
2025-06-26 20:00:00,30.3,85,12.2,0.0
2025-06-26 21:00:00,30.1,87,10.2,0.0
2025-06-26 22:00:00,30.0,87,10.0,0.0
2025-06-26 23:00:00,30.0,88,5.5,0.0
2025-06-27 00:00:00,29.8,89,4.7,0.0
2025-06-27 01:00:00,29.7,90,4.7,0.0
2025-06-27 02:00:00,29.7,89,5.6,0.0
2025-06-27 03:00:00,29.6,89,6.2,0.0
2025-06-27 04:00:00,29.5,89,6.3,0.0
2025-06-27 05:00:00,29.1,90,8.0,0.0
2025-06-27 06:00:00,29.1,89,8.2,0.0
2025-06-27 07:00:00,29.3,88,7.1,0.0
2025-06-27 08:00:00,29.9,85,6.5,0.0
2025-06-27 09:00:00,31.0,78,6.7,0.0
2025-06-27 10:00:00,31.8,73,8.9,0.0
2025-06-27 11:00:00,30.3,83,12.2,0.0
2025-06-27 12:00:00,30.8,79,12.3,0.3
2025-06-27 13:00:00,30.7,78,10.7,0.2
2025-06-27 14:00:00,30.5,81,12.1,0.2
2025-06-27 15:00:00,30.4,81,14.3,0.0
2025-06-27 16:00:00,30.3,80,15.0,0.0
2025-06-27 17:00:00,29.7,80,11.8,0.0
2025-06-27 18:00:00,29.4,82,13.6,0.0
2025-06-27 19:00:00,29.0,85,13.3,0.0
2025-06-27 20:00:00,28.9,86,14.1,0.2
2025-06-27 21:00:00,28.9,86,13.7,1.0
2025-06-27 22:00:00,28.9,87,13.8,2.9
2025-06-27 23:00:00,28.6,89,10.7,0.8
2025-06-28 00:00:00,28.4,91,11.2,2.0
2025-06-28 01:00:00,28.3,92,12.0,2.2
2025-06-28 02:00:00,28.4,91,15.2,1.0
2025-06-28 03:00:00,28.5,90,13.2,0.3
2025-06-28 04:00:00,28.4,89,13.4,0.9
2025-06-28 05:00:00,28.6,90,11.6,0.0
2025-06-28 06:00:00,28.6,90,12.4,0.0
2025-06-28 07:00:00,28.4,90,11.5,1.4
2025-06-28 08:00:00,28.3,89,10.5,2.3
2025-06-28 09:00:00,28.6,87,10.8,1.4
2025-06-28 10:00:00,28.9,86,11.2,1.1
2025-06-28 11:00:00,28.9,84,15.5,0.9
2025-06-28 12:00:00,28.9,82,16.4,1.3
2025-06-28 13:00:00,29.2,78,16.9,1.1
2025-06-28 14:00:00,29.3,78,18.5,1.1
2025-06-28 15:00:00,29.5,78,19.5,1.2
2025-06-28 16:00:00,29.2,78,17.7,1.8
2025-06-28 17:00:00,29.1,82,15.8,1.2
2025-06-28 18:00:00,28.9,83,14.9,1.6
2025-06-28 19:00:00,28.8,82,15.5,0.2
2025-06-28 20:00:00,28.5,84,13.6,0.3
2025-06-28 21:00:00,28.4,87,12.9,0.9
2025-06-28 22:00:00,28.6,84,12.5,0.0
2025-06-28 23:00:00,28.8,86,5.4,0.0
