datetime,temp_C,humidity_%,windspeed_kph,precip_mm
2025-04-07 11:00:00,34.2,33.83,16.9,0.0
2025-04-07 12:00:00,36.0,28.66,24.1,0.0
2025-04-07 13:00:00,36.0,34.68,27.7,0.0
2025-04-07 14:00:00,34.6,37.72,25.6,0.0
2025-04-07 15:00:00,34.0,38.75,27.7,0.0
2025-04-07 16:00:00,34.0,38.75,29.5,0.0
2025-04-07 17:00:00,32.8,44.2,23.4,0.0
2025-04-07 18:00:00,31.0,43.09,25.9,0.0
2025-04-07 19:00:00,29.0,54.82,20.5,0.0
2025-04-07 20:00:00,28.2,56.83,14.4,0.0
2025-04-07 21:00:00,28.0,54.57,11.2,0.0
2025-04-07 22:00:00,27.0,57.86,5.4,0.0
2025-04-07 23:00:00,27.4,58.83,11.2,0.0
2025-04-08 00:00:00,27.0,57.86,9.4,0.0
2025-04-08 01:00:00,26.0,65.35,13.0,0.0
2025-04-08 02:00:00,26.4,70.99,8.6,0.0
2025-04-08 03:00:00,26.0,73.96,16.6,0.0
2025-04-08 04:00:00,26.0,78.63,13.0,0.0
2025-04-08 05:00:00,25.8,85.15,8.6,0.0
2025-04-08 06:00:00,25.0,88.68,9.4,0.0
2025-04-08 07:00:00,25.0,88.68,7.6,0.0
2025-04-08 08:00:00,27.0,80.87,7.6,0.0
2025-04-08 09:00:00,29.0,65.97,11.2,0.0
2025-04-08 10:00:00,30.0,55.07,20.5,0.0
2025-04-08 11:00:00,31.6,53.15,22.9,0.0
2025-04-08 12:00:00,32.0,52.25,24.1,0.0
2025-04-08 13:00:00,33.0,46.43,16.6,0.0
2025-04-08 14:00:00,33.6,41.12,19.7,0.0
2025-04-08 15:00:00,34.0,32.02,24.1,0.0
2025-04-08 16:00:00,34.0,28.12,22.3,0.0
2025-04-08 17:00:00,33.6,38.88,16.9,0.0
2025-04-08 18:00:00,32.0,38.2,11.2,0.0
2025-04-08 19:00:00,30.0,55.07,14.8,0.0
2025-04-08 20:00:00,28.8,62.87,10.8,0.0
2025-04-08 21:00:00,28.0,69.91,13.0,0.0
2025-04-08 22:00:00,27.0,74.13,7.6,0.0
2025-04-08 23:00:00,27.2,68.54,7.6,0.0
2025-04-09 00:00:00,27.0,61.6,7.6,0.0
2025-04-09 01:00:00,27.0,61.6,5.4,0.0
2025-04-09 02:00:00,25.6,77.82,6.1,0.0
2025-04-09 03:00:00,25.0,78.49,5.4,0.0
2025-04-09 04:00:00,25.0,83.45,5.4,0.0
2025-04-09 05:00:00,25.0,89.74,8.6,0.0
2025-04-09 06:00:00,25.0,88.68,14.8,0.0
2025-04-09 07:00:00,25.0,83.45,11.2,0.0
2025-04-09 08:00:00,26.2,83.79,13.3,0.0
2025-04-09 09:00:00,28.0,74.29,14.8,0.0
2025-04-09 10:00:00,30.0,58.57,18.4,0.0
2025-04-09 11:00:00,30.8,58.01,18.4,0.0
2025-04-09 12:00:00,32.0,46.17,22.3,0.0
2025-04-09 13:00:00,34.0,26.34,22.3,0.0
2025-04-09 14:00:00,34.8,31.47,20.8,0.0
2025-04-09 15:00:00,36.0,23.57,18.4,0.0
2025-04-09 16:00:00,36.0,32.56,27.7,0.0
2025-04-09 17:00:00,34.6,34.08,21.5,0.0
2025-04-09 18:00:00,33.0,36.1,13.0,0.0
2025-04-09 19:00:00,32.0,22.55,7.6,0.0
2025-04-09 20:00:00,31.0,33.55,11.2,0.0
2025-04-09 21:00:00,30.0,33.03,7.6,0.0
2025-04-09 22:00:00,29.0,37.37,13.0,0.0
2025-04-09 23:00:00,27.2,78.06,13.3,0.0
2025-04-10 00:00:00,27.0,78.77,24.1,0.0
2025-04-10 01:00:00,27.0,78.77,18.4,0.0
2025-04-10 02:00:00,27.0,76.49,16.9,0.0
2025-04-10 03:00:00,26.0,78.63,9.4,0.0
2025-04-10 04:00:00,26.0,83.56,13.0,0.0
2025-04-10 05:00:00,26.0,85.18,10.1,0.0
2025-04-10 06:00:00,26.0,83.56,9.4,0.0
2025-04-10 07:00:00,26.0,78.63,14.8,0.0
2025-04-10 08:00:00,27.2,75.24,13.0,0.0
2025-04-10 09:00:00,29.0,65.97,20.5,0.0
2025-04-10 10:00:00,30.0,62.27,14.8,0.0
2025-04-10 11:00:00,32.0,50.11,19.7,0.0
2025-04-10 12:00:00,34.0,36.38,22.3,0.0
2025-04-10 13:00:00,35.0,36.65,18.4,0.0
2025-04-10 14:00:00,33.8,47.3,21.8,0.0
2025-04-10 15:00:00,34.0,43.9,29.5,0.0
2025-04-10 16:00:00,33.0,49.39,31.7,0.0
2025-04-10 17:00:00,31.8,50.26,21.8,0.0
2025-04-10 18:00:00,30.0,55.07,18.4,0.0
2025-04-10 19:00:00,29.0,62.05,16.6,0.0
2025-04-10 20:00:00,29.0,61.71,18.4,0.0
2025-04-10 21:00:00,29.0,51.49,16.6,0.0
2025-04-10 22:00:00,28.0,58.1,14.8,0.0
2025-04-10 23:00:00,28.0,65.08,13.3,0.0
2025-04-11 00:00:00,27.0,74.13,18.4,0.0
2025-04-11 01:00:00,27.0,78.77,16.6,0.0
2025-04-11 02:00:00,27.0,79.35,18.4,0.0
2025-04-11 03:00:00,25.3,89.24,11.5,0.0
2025-04-11 04:00:00,26.0,83.56,14.8,0.0
2025-04-11 05:00:00,26.4,82.22,16.9,0.0
2025-04-11 06:00:00,26.0,83.56,18.4,0.0
2025-04-11 07:00:00,27.0,78.77,18.4,0.0
2025-04-11 08:00:00,27.2,78.06,14.8,0.0
2025-04-11 09:00:00,29.0,65.97,14.8,0.0
2025-04-11 10:00:00,30.0,62.27,22.3,0.0
2025-04-11 11:00:00,31.8,55.2,18.4,0.0
2025-04-11 12:00:00,33.0,49.39,24.1,0.0
2025-04-11 13:00:00,34.0,43.9,22.3,0.0
2025-04-11 14:00:00,34.6,45.12,23.7,0.0
2025-04-11 15:00:00,35.0,34.41,20.5,0.0
2025-04-11 16:00:00,34.0,41.25,20.5,0.0
2025-04-11 17:00:00,32.2,54.37,21.8,0.0
2025-04-11 18:00:00,31.0,55.31,24.1,0.0
2025-04-11 19:00:00,29.0,58.34,18.4,0.0
2025-04-11 20:00:00,28.2,67.58,14.8,0.0
2025-04-11 21:00:00,28.0,65.76,9.4,0.0
2025-04-11 22:00:00,28.0,69.91,11.2,0.0
2025-04-11 23:00:00,27.8,76.61,12.2,0.0
2025-04-12 00:00:00,27.0,78.77,16.6,0.0
2025-04-12 01:00:00,27.0,78.77,11.2,0.0
2025-04-12 02:00:00,27.0,82.23,9.0,0.0
2025-04-12 03:00:00,26.0,83.56,9.4,0.0
2025-04-12 04:00:00,26.0,83.56,11.2,0.0
2025-04-12 05:00:00,26.2,85.2,12.2,0.0
2025-04-12 06:00:00,25.0,88.14,14.4,0.0
2025-04-12 07:00:00,26.0,83.56,7.6,0.0
2025-04-12 08:00:00,27.2,79.37,16.2,0.0
2025-04-12 09:00:00,30.0,58.57,20.5,0.0
2025-04-12 10:00:00,31.0,48.87,18.4,0.0
2025-04-12 11:00:00,34.0,35.25,14.4,0.0
2025-04-12 12:00:00,38.0,16.17,16.6,0.0
2025-04-12 13:00:00,39.0,18.74,20.5,0.0
2025-04-12 14:00:00,38.6,19.78,23.4,0.0
2025-04-12 15:00:00,38.0,16.17,27.7,0.0
2025-04-12 16:00:00,36.0,28.66,27.7,0.0
2025-04-12 17:00:00,34.8,35.74,20.8,0.0
2025-04-12 18:00:00,33.0,40.98,27.7,0.0
2025-04-12 19:00:00,31.0,55.31,18.4,0.0
2025-04-12 20:00:00,29.0,69.22,15.8,0.0
2025-04-12 21:00:00,29.0,74.46,18.4,0.0
2025-04-12 22:00:00,28.0,74.29,18.4,0.0
2025-04-12 23:00:00,28.0,75.37,13.3,0.0
2025-04-13 00:00:00,27.0,78.77,16.6,0.0
2025-04-13 01:00:00,27.0,83.67,14.8,0.0
2025-04-13 02:00:00,27.0,80.87,15.8,0.0
2025-04-13 03:00:00,27.0,78.77,16.6,0.0
2025-04-13 04:00:00,27.0,78.77,20.5,0.0
2025-04-13 05:00:00,27.0,80.87,7.7,0.0
2025-04-13 06:00:00,26.0,83.56,13.0,0.0
2025-04-13 07:00:00,26.0,83.56,18.4,0.0
2025-04-13 08:00:00,27.2,78.06,20.4,0.0
2025-04-13 09:00:00,29.0,65.97,24.1,0.0
2025-04-13 10:00:00,31.0,52.0,24.1,0.0
2025-04-13 11:00:00,34.0,40.53,19.3,0.0
2025-04-13 12:00:00,36.0,30.55,16.6,0.0
2025-04-13 13:00:00,36.0,36.92,18.4,0.0
2025-04-13 14:00:00,34.0,47.39,26.7,0.0
2025-04-13 15:00:00,34.0,46.69,25.9,0.0
2025-04-13 16:00:00,33.0,52.5,29.5,0.0
2025-04-13 17:00:00,32.0,55.25,29.1,0.0
2025-04-13 18:00:00,31.0,55.31,27.7,0.0
2025-04-13 19:00:00,30.0,58.57,25.9,0.0
2025-04-13 20:00:00,28.4,74.37,20.4,0.0
2025-04-13 21:00:00,28.0,74.29,14.8,0.0
2025-04-13 22:00:00,28.0,78.91,14.8,0.0
2025-04-13 23:00:00,27.2,83.9,12.6,0.0
2025-04-14 00:00:00,27.0,83.67,11.2,0.0
2025-04-14 01:00:00,27.0,78.77,14.8,0.0
2025-04-14 02:00:00,26.4,83.81,17.3,0.0
2025-04-14 03:00:00,26.0,83.56,14.8,0.0
2025-04-14 04:00:00,26.0,83.56,13.0,0.0
2025-04-14 05:00:00,26.2,83.79,14.8,0.0
2025-04-14 06:00:00,26.0,83.56,14.8,0.0
2025-04-14 07:00:00,26.0,83.56,9.4,0.0
2025-04-14 08:00:00,27.4,78.09,14.8,0.0
2025-04-14 09:00:00,29.0,70.1,14.8,0.0
2025-04-14 10:00:00,31.0,55.31,14.8,0.0
